web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845183-1236","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","45 . Cafe Tęcza Przedsiębiorstwo Usługowo Handlowo Produkcyjne","61 861 09 72","Piotr Ściegiennego 50","null","Bakeries"
"1616845171-1197","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","26 . Strauss Cafe Poland","61 816 68 50","Swadzim, Poznańska 50","null","Coffee and tea , Cafes"
"1616845200-1285","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=70","78 . Cafe Tęcza Cafe","61 861 09 72","ul. Ściegiennego 50","null",""
"1616845177-1219","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=30","38. Cukiernia Kawiarnia Cafe Fresco Danuta Kostusiak","61 813 37 14","Dworcowa 17","null","Piekarnie"
"1616845177-1212","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=30","31 . Poema Cafe","61 853 05 76","ul. Langiewicza 2","null","Cafes"
"1616845165-1176","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","15 . Radhe Vega - Restaurant & Cafe","60 268 08 14","Głogowska 86","null","Hinduska, Kawiarnie, Kawa i herbata"
"1616845183-1241","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","50 . Cafe climate","50 269 87 45","null","null",""
"1616845200-1280","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=70","73 . Bunuba Cafe Partner of the Civil Partnership Przemysław Nowak","","Szewska 20a","null","Bars"
"1616845200-1278","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=70","71 . Julia Chara La Robe Cafe","","Rynek Stary Rynek 25","null","Bars"
"1616845220-1305","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=90","98 . Cafe Internet Ha Hanna Tatarkiewicz Marcinkowska Alicja","","Zwycięstwa 22","null",""
"1616845200-1287","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=70","80 . Cafe Bar Cicha Agnieszka","61 444 74 90","Powstańców Chocieszyńskich 29","null","Bars"
"1616845158-1157","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","","6. Cafe Misja","53 158 41 87","ul. Golebia 1","null","$Ciastka, Kawa i herbata, Bary"
"1616845171-1199","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","28. Cafe Muza","16 926 95 98","ul. St. Marcin 30","null","Kawiarnie, Kawa i herbata"
"1616845207-1296","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","89. Sklep Spożywczo Przemysłowy warzywa Owoce Cafe Bistro Bar","","Bonin 21","null","Artykuły spożywcze"
"1616845158-1158","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","","7. Sofa Cafe & Lunch","60 628 06 36","ul. Jewish 30","null","Kawiarnie, Ciastka, Polska"
"1616845220-1302","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=90","95 . Deserovnia Pałac Wąsowo - Cafe Pub","61 852 50 29","ul. Świętosławska 12","null","Tourist services"
