web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845301-1338","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","32 . Cafe Bar Magdalenka Józefa Świstowska Łukasz Stępie","81 441 10 80","Głęboka 10 /  39","null","Bars"
"1616845283-1313","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","7. Behemot Cafe","50 146 60 88","ul. Racławickie 1-3","null","Kawiarnie, Kawa i herbata"
"1616845289-1318","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","12 . Cafe Ramses","60 521 24 94","ul. Kołłątaja 3","null","Cafes , Coffee and tea"
"1616845294-1331","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","25 . Cafe La Glacé Teresa Kusaj","","Lubartowska 3","null","Bars"
"1616845301-1339","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","33 . Atelier Cafe Sławomir Graniczka","","Oratoryjna 9 /  17","null","Bars"
"1616845294-1327","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","21 . Ewelina Wiśniewska Cafe Amsterdam","","Lwowska 6b","null","Groceries"
"1616845306-1348","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","42 . Cafe Yoco","","Okopowa 14 Lok. 13","null",""
"1616845294-1333","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","27 . Cafe Solo Kozłowska Teresa Coffee Bar","","May 3 12","null","Bars"
"1616845294-1336","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","30 . Carmell Cafe Violetta Sikora","81 449 96 74","Factory 2","null","Bars"
"1616845306-1353","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","47. Lux Cafe Henryk Mordel","","Turka Journal 1228/2","null","Artykuły spożywcze"
"1616845283-1315","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","9. 2 PI ER Cafe","73 074 12 30","ul. Artura Grottgera 2","null","$$Kawiarnie, Śniadanie i brunch, Kawa i herbata"
"1616845301-1346","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","40 . Hotel Wieniawski","81 459 92 00","ul. Sądowa 6","null","$$ Hotels"
