web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616844474-1044","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","26 . Cafe - Bar - Milano","71 349 69 64","ul. Wladyslawa Zarembowicza  16a","null","Bary, Kawiarnie, Kawa i herbata"
"1616844493-1074","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","56 . The Buddha Cafe","60 459 64 29","ul. Szewska 27","null",""
"1616844498-1087","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","69 . Wrocław airport","71 358 11 00","ul. Grain 190","null","Airports"
"1616844481-1056","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","38 . Tomasz Straszyński Cafe Mona Liza","71 343 14 13","Market Square 16/17","null","Bars , Restaurants"
"1616844487-1068","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","50 . Blue Bar Cafe","71 343 41 26","Pl. Solny 8/9","null","Arts and entertainment"
"1616844469-1037","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","19. FutureNet Cafe","","ul. Rynek 46 / 47","null","Kawiarnie, Ciastka"
"1616844498-1084","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","66 . Elite Cafe","71 364 44 58","Gen. Grota-roweckiego 75","null",""
"1616844474-1048","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","30. Etno Cafe Wrocław 101","53 777 04 45","ul. Piłsudskiego 101","null","Kawa i herbata"
"1616844487-1064","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","46 . Ornatowski Łukasz Ciacho Cafe","","Ruska 50","null","Candy stores"
"1616844474-1047","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","29. Etno Cafe","53 750 14 41","ul. Graniczna 4A","null","Kawa i herbata"
"1616844469-1031","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","13 . Lili Cafe","73 357 85 04","ul. Rynek 36 / 37","null","Ice Cream and Frozen Yoghurt , Cafes"
"1616844481-1057","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","39 . The Lion's inn","Located in Zoo Wrocław","null","null","Cafes , Coffee and tea"
