web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616843634-195","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","56 . Bellmer Cafe Kinga Bell","","Warszawska 2","null","$ Bars"
"1616843663-242","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","103 . Internet Cafe Będlin Krystyna","","Wincentego Pola 2a","null",""
"1616843606-146","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","","7 . Muza Art Cafe","60 242 93 76","Warszawska 2","null","Sztuka i rozrywka, Kawiarnie, Kawa i herbata"
"1616843681-273","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=130","134 . Cafe Bar Bolero Zdzisław Grodowski","","Bielska 2","null","Bars"
"1616843612-151","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=10","12 . Cafe Bristol","73 591 18 79","ul. Dworcowa 16","null","Cafes , Coffee and tea"
"1616843686-280","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=140","141 . Cafe Bar Milano II Kubisz J Ignaczak J Ignaczak E","","Dworcowa 38a","null","Theaters"
"1616843617-161","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=20","22 . Cafe Coco","51 774 43 66","ul. Freedom 15","null","$$ Cafes , Coffee & Tea"
"1616843651-228","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=80","89 . Bagdad Cafe Sędrowska Małgorzata Dziechciarz Anna","32 290 85 58","Susanna 22","null","Bars"
"1616843657-233","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=90","94 . Przedsiębiorstwo Handlowo Usługowe Cafe Jj Tyńska Jagienka","","Chorzowska 14c","null","Bars"
"1616843669-254","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","115 . Cafe Ewa Kaszałek Ewa","","Cable 6a","null","Bars"
