web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334615-1650","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","20. Ciacho Cafe Cukiernia Królewska Wrocław","51 403 23 60","Casimir the Great 25","null","Piekarnie, Kawiarnie, Kawa i herbata"
"1616334652-1742","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","62 . Rock Music Cafe Ostaszewski Mirosław","","Leonardo Da Vinci 14/1","null","Bars"
"1616334615-1643","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","13. Ciacho Cafe Cukiernia Królewska Wrocław","51 403 23 60","Bulwar Ikara 17C","null","$ Bakeries , Cafes , Coffee and Tea"
"1616334629-1688","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","38. Tomasz Straszyński Cafe Mona Liza","71 343 14 13","Market Square 16/17","null","Bary, Restauracje"
"1616334622-1668","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","28 . Etno Cafe Wroclaw 101","53 777 04 45","ul. Piłsudskiego 101","null","Coffee and tea"
"1616334629-1685","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","35 . Bike Cafe Wrocław","60 243 47 55","South Park","null","$ Cafes , Food Stands"
"1616334637-1702","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","42 . Cafe Fika","71 790 40 92","ul. Market 7","null","$ Cafes , Coffee and Tea"
"1616334629-1686","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","36. Etno Cafe Okrąglak","71 307 10 03","pl. Tadeusz Kościuszko","null","$$Kawa i herbata"
"1616334615-1645","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","15 . Cafe Starter","","Cybulskiego 15","null","$Kawiarnie, Kawa i herbata"
"1616334607-1622","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","","2 . Cafe foam","","ul. Fabryczna 12","null","Coffee and tea , Cafes"
