web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334266-1437","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","95 . Cafe Monika","58 620 39 83","Świętojańska 32","null",""
"1616334259-1422","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","90 . Cafe Bit One","","Greater Poland 26","null",""
"1616334226-1333","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","41. Cafe Ferber","79 101 00 05","ul. Długa 77/78","null","Cafes"
"1616334274-1459","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","107 . Jerzy Maroński Safita Cafe Antylia","","Żeromskiego 40","null","Private accommodation"
"1616334218-1316","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","34 . Fanaberia Crepes & Cafe Naleśnikarnia","78 578 17 81","ul. Świętojańska 33-35","null","$ Cafes , Coffee and Tea , Creperies"
"1616334266-1436","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","94 . Ice Cream Cafe","","Redłowska 52","null",""
"1616334218-1322","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","40. Restauracja Rękawiczka","79 341 34 33","null","null","Polska, Bary, Kawiarnie"
"1616334226-1342","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","50. Cafe Bar Rozrywkowy Ksantypa Mgr Henryk Andrukiewicz","","Piastowska 210","null","Bary"
"1616334233-1355","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","53 . Blue Cafe","58 346 38 71","ul. Chmielna 103/104","null",""
"1616334250-1398","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","76 . Flemming Cafe","69 422 04 85","Abbot Jacek Rybiński 8","null",""
